UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  1 19:20 ?        00:00:13 /sbin/init
root         2     0  0 19:20 ?        00:00:00 [kthreadd]
root         3     2  0 19:20 ?        00:00:00 [pool_workqueue_release]
root         4     2  0 19:20 ?        00:00:00 [kworker/R-slub_]
root         5     2  0 19:20 ?        00:00:00 [kworker/R-netns]
root         7     2  0 19:20 ?        00:00:00 [kworker/0:0H-kblockd]
root         8     2  0 19:20 ?        00:00:02 [kworker/u2:0-events_unbound]
root         9     2  0 19:20 ?        00:00:00 [kworker/R-mm_pe]
root        10     2  0 19:20 ?        00:00:00 [rcu_tasks_rude_kthread]
root        11     2  0 19:20 ?        00:00:00 [rcu_tasks_trace_kthread]
root        12     2  0 19:20 ?        00:00:00 [ksoftirqd/0]
root        13     2  0 19:20 ?        00:00:00 [kdevtmpfs]
root        14     2  0 19:20 ?        00:00:00 [kworker/R-inet_]
root        15     2  0 19:20 ?        00:00:00 [kworker/u2:1-events_unbound]
root        16     2  0 19:20 ?        00:00:00 [kauditd]
root        17     2  0 19:20 ?        00:00:00 [khungtaskd]
root        18     2  0 19:20 ?        00:00:00 [oom_reaper]
root        19     2  0 19:20 ?        00:00:00 [kworker/R-write]
root        20     2  0 19:20 ?        00:00:00 [kcompactd0]
root        21     2  0 19:20 ?        00:00:00 [kworker/R-kinte]
root        22     2  0 19:20 ?        00:00:00 [kworker/R-kbloc]
root        23     2  0 19:20 ?        00:00:00 [kworker/R-blkcg]
root        24     2  0 19:20 ?        00:00:00 [watchdogd]
root        25     2  0 19:20 ?        00:00:03 [kworker/u2:2-events_unbound]
root        27     2  0 19:20 ?        00:00:00 [kworker/R-rpcio]
root        28     2  0 19:20 ?        00:00:00 [kworker/R-xprti]
root        31     2  0 19:20 ?        00:00:00 [kswapd0]
root        32     2  0 19:20 ?        00:00:00 [kworker/R-nfsio]
root        33     2  0 19:20 ?        00:00:00 [hwrng]
root        34     2  0 19:20 ?        00:00:00 [kworker/R-iscsi]
root        35     2  0 19:20 ?        00:00:00 [kworker/R-DWC N]
root        37     2  0 19:20 ?        00:00:00 [vchiq-slot/0]
root        38     2  0 19:20 ?        00:00:00 [vchiq-recy/0]
root        39     2  0 19:20 ?        00:00:00 [vchiq-sync/0]
root        41     2  0 19:20 ?        00:00:00 [kworker/u3:0-hci0]
root        42     2  0 19:20 ?        00:00:00 [kworker/R-mmc_c]
